PAR„асовой;ƒата¬рем€=27.12.2009 23:00:00;T(ч)т1=75,549;P(ч)т1=1,8188;M(ч)т1=0;W(ч)т1=0;Vo(ч)т1=0;T(ч)т2=186,77;P(ч)т2=12,158;M(ч)т2=9,1412;W(ч)т2=6,0292;Vo(ч)т2=0
PAR„асовой;ƒата¬рем€=29.12.2009 10:00:00;T(ч)т1=70,193;P(ч)т1=1,5532;M(ч)т1=0;W(ч)т1=0;Vo(ч)т1=0;T(ч)т2=188,58;P(ч)т2=12,887;M(ч)т2=10,3126;W(ч)т2=6,8053;Vo(ч)т2=0
ƒата¬рем€;T(ч)т1;P(ч)т1;M(ч)т1;W(ч)т1;T(ч)т2;P(ч)т2;M(ч)т2;W(ч)т2;
28.12.09 00:00;75,750;1,817;0,000;0,000;187,710;12,414;9,427;6,219;
28.12.09 01:00;75,841;1,815;0,000;0,000;187,240;12,295;9,507;6,271;
28.12.09 02:00;75,441;1,749;0,000;0,000;187,710;12,441;9,575;6,317;
28.12.09 03:00;74,311;1,670;0,000;0,000;187,990;12,601;9,684;6,389;
28.12.09 04:00;73,406;1,648;0,000;0,000;189,200;12,961;9,713;6,411;
28.12.09 05:00;72,730;1,636;0,000;0,000;189,200;12,981;9,668;6,381;
28.12.09 06:00;72,178;1,640;0,000;0,000;187,930;12,611;9,304;6,138;
28.12.09 07:00;71,962;1,651;0,000;0,000;189,160;12,965;9,870;6,514;
28.12.09 08:00;71,906;1,658;0,000;0,000;189,470;12,997;9,486;6,261;
28.12.09 09:00;71,811;1,661;0,000;0,000;188,640;12,804;9,742;6,429;
28.12.09 10:00;72,180;1,705;0,000;0,000;188,610;12,717;9,533;6,291;
28.12.09 11:00;72,547;1,718;0,000;0,000;189,460;12,986;9,677;6,387;
28.12.09 12:00;72,735;1,716;0,000;0,000;190,310;13,192;9,099;6,007;
28.12.09 13:00;72,999;1,732;0,000;0,000;189,020;12,829;9,099;6,005;
28.12.09 14:00;73,177;1,733;0,000;0,000;189,140;12,869;9,685;6,392;
28.12.09 15:00;73,480;1,750;0,000;0,000;189,450;12,940;9,604;6,339;
28.12.09 16:00;74,193;1,776;0,000;0,000;188,120;12,516;10,266;6,774;
28.12.09 17:00;74,431;1,773;0,000;0,000;188,250;12,605;10,766;7,104;
28.12.09 18:00;74,503;1,769;0,000;0,000;188,570;12,693;10,683;7,049;
28.12.09 19:00;74,361;1,746;0,000;0,000;188,100;12,552;10,449;6,895;
28.12.09 20:00;74,209;1,738;0,000;0,000;187,540;12,391;10,437;6,885;
28.12.09 21:00;74,158;1,736;0,000;0,000;187,300;12,340;10,659;7,031;
28.12.09 22:00;73,727;1,693;0,000;0,000;187,110;12,324;11,340;7,481;
28.12.09 23:00;73,119;1,660;0,000;0,000;189,320;12,928;11,278;7,444;
29.12.09 00:00;72,735;1,655;0,000;0,000;190,000;13,102;10,530;6,951;
29.12.09 01:00;72,440;1,647;0,000;0,000;188,500;12,676;10,104;6,667;
29.12.09 02:00;72,144;1,638;0,000;0,000;187,670;12,480;10,241;6,757;
29.12.09 03:00;71,737;1,618;0,000;0,000;189,040;12,880;10,507;6,935;
29.12.09 04:00;71,431;1,615;0,000;0,000;189,610;13,043;10,456;6,902;
29.12.09 05:00;71,226;1,609;0,000;0,000;189,200;12,913;10,120;6,679;
29.12.09 06:00;70,790;1,588;0,000;0,000;188,270;12,696;10,141;6,691;
29.12.09 07:00;70,404;1,571;0,000;0,000;188,200;12,693;10,101;6,665;
29.12.09 08:00;70,280;1,562;0,000;0,000;188,110;12,688;9,924;6,548;
29.12.09 09:00;70,163;1,556;0,000;0,000;187,750;12,573;9,627;6,352;
29.12.09 10:00;70,193;1,553;0,000;0,000;188,580;12,887;10,313;6,805;
